stm,Identifier,TargetImage,DistImage,TagetLoc,DistLoc,Expected,AudioFile,Trial_Type,IAS,BLOCK,Condition,Syllables,TargetLocation_ListA_1,DistractorLocation_ListA1,List
54,108,17_A_Pretzel_Baseline.jpg,17_B_Sneaker_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",pretzel_Baseline.wav,Exp,54.ias,1,Unrelated,2,Left,Right,A2
1,109,11_B_Carrot_Rhyme.jpg,11_A_Parrot_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",carrot_Rhyme.wav,Exp,1.ias,1,Rhyme,2,Left,Right,B1
2,110,10_B_Police_Baseline.jpg,10_A_Basket_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",police_Baseline.wav,Exp,2.ias,1,Unrelated,2,Right,Left,B1
3,111,15_B_Penny_Cohort.jpg,15_A_Penguin_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",penny_Cohort.wav,Exp,3.ias,1,Cohort,2,Left,Right,B1
4,112,8_B_Juice_Baseline.jpg,8_A_Doll_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",juice_Baseline.wav,Exp,4.ias,1,Unrelated,1,Right,Left,B1
5,113,14_B_Kitten_Rhyme.jpg,14_A_Mitten_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",kitten_Rhyme.wav,Exp,5.ias,1,Rhyme,2,Right,Left,B1
6,114,13_B_Children_Cohort.jpg,13_A_Chicken_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",children_Cohort.wav,Exp,6.ias,1,Cohort,2,Left,Right,B1
7,115,13_B_Belly_Rhyme.jpg,13_A_Jelly_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",belly_Rhyme.wav,Exp,7.ias,1,Rhyme,2,Right,Left,B1
8,116,12_B_Muffin_Baseline.jpg,12_A_Doctor_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",muffin_Baseline.wav,Exp,8.ias,1,Unrelated,2,Right,Left,B1
9,117,16_B_Candle_Rhyme.jpg,16_A_Sandal_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",candle_Rhyme.wav,Exp,9.ias,1,Rhyme,2,Left,Right,B1
10,118,1_B_Bathtub_Cohort.jpg,1_A_Bat_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",bath_Cohort.wav,Exp,10.ias,1,Cohort,1,Right,Left,B1
11,119,4_B_Hand_Rhyme.jpg,4_A_Sand_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",hand_Rhyme.wav,Exp,11.ias,1,Rhyme,1,Left,Right,B1
12,120,11_B_Button_Cohort.jpg,11_A_Bunny_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",button_Cohort.wav,Exp,12.ias,1,Cohort,2,Left,Right,B1
13,121,17_B_Pocket_Rhyme.jpg,17_A_Rocket_Rhyme_3.jpg,"(1180, 524)","(500, 524)","(1180, 524)",pocket_Rhyme.wav,Exp,13.ias,1,Rhyme,2,Right,Left,B1
14,122,7_B_Moose_Cohort.jpg,7_A_Moon_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",moose_Cohort.wav,Exp,14.ias,1,Cohort,1,Right,Left,B1
15,123,9_B_Horse_Baseline.jpg,9_A_Feet_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",horse_Baseline.wav,Exp,15.ias,1,Unrelated,1,Left,Right,B1
16,124,1_B_Rake_Rhyme.jpg,1_A_Cake_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",rake_Rhyme.wav,Exp,16.ias,1,Rhyme,1,Left,Right,B1
17,125,10_B_Butter_Cohort.jpg,10_A_Bubbles_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",butter_Cohort.wav,Exp,17.ias,1,Cohort,2,Right,Left,B1
18,126,4_B_Teeth_Baseline.jpg,4_A_Cheese_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",teeth_Baseline.wav,Exp,18.ias,1,Unrelated,1,Left,Right,B1
19,127,5_B_Comb_Cohort.jpg,5_A_Coat_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",comb_Cohort.wav,Exp,19.ias,1,Cohort,1,Left,Right,B1
20,128,8_B_Boy_Rhyme.jpg,8_A_Toy_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",boy_Rhyme.wav,Exp,20.ias,1,Rhyme,1,Right,Left,B1
21,129,6_B_Cup_Baseline.jpg,6_A_Frog_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",cup_Rhyme.wav,Exp,21.ias,1,Unrelated,1,Right,Left,B1
22,130,16_B_Pickle_Cohort.jpg,16_A_Pillow_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",pickle_Cohort.wav,Exp,22.ias,1,Cohort,2,Right,Left,B1
23,131,10_B_Poodles_Rhyme.jpg,10_A_Noodles_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",poodles_Rhyme.wav,Exp,23.ias,1,Rhyme,2,Left,Right,B1
24,132,18_B_Cookie_Baseline.jpg,18_A_Shovel_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",cookies_Baseline.wav,Exp,24.ias,1,Unrelated,2,Left,Right,B1
25,133,18_B_Potty_Cohort.jpg,18_A_Popcorn_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",potty_Cohort.wav,Exp,25.ias,1,Cohort,2,Right,Left,B1
26,134,2_B_Sock_Baseline.jpg,2_A_Bird_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",sock_Baseline.wav,Exp,26.ias,1,Unrelated,1,Left,Right,B1
27,135,4_B_Clown_Cohort.jpg,4_A_Cloud_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",clown_Cohort.wav,Exp,27.ias,1,Cohort,1,Right,Left,B1
28,136,13_B_Finger_Baseline.jpg,13_A_Donut_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",finger_Baseline.wav,Exp,28.ias,1,Unrelated,2,Left,Right,B1
29,137,12_B_Shower_Rhyme.jpg,12_A_Flower_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",shower_Rhyme.wav,Exp,29.ias,1,Rhyme,2,Right,Left,B1
30,138,6_B_Cows_Cohort.jpg,6_A_Couch_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",cows_Cohort.wav,Exp,30.ias,1,Cohort,1,Left,Right,B1
31,139,7_B_Men_Rhyme.jpg,7_A_Pen_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",men_Rhyme.wav,Exp,31.ias,1,Rhyme,1,Right,Left,B1
32,140,11_B_Zipper_Baseline.jpg,11_A_Bottle_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",zipper_Baseline.wav,Exp,32.ias,1,Unrelated,2,Left,Right,B1
33,141,8_B_Mouth_Cohort.jpg,8_A_Mouse_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",mouth2_Cohort.wav,Exp,33.ias,1,Cohort,1,Left,Right,B1
34,142,2_B_Hat_Rhyme.jpg,2_A_Cat_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",hat_Rhyme.wav,Exp,34.ias,1,Rhyme,1,Right,Left,B1
35,143,1_B_Pants_Baseline.jpg,1_A_Bear_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",pants_Baseline.wav,Exp,35.ias,1,Unrelated,1,Left,Right,B1
36,144,3_B_Fish_Rhyme.jpg,3_A_Dish_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",fish_Rhyme.wav,Exp,36.ias,1,Rhyme,1,Left,Right,B1
37,145,16_B_Tractor_Baseline.jpg,16_A_Present_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",tractor_Baseline.wav,Exp,37.ias,1,Unrelated,2,Left,Right,B1
38,146,17_B_People_Cohort.jpg,17_A_Pizza_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",people_Cohort.wav,Exp,38.ias,1,Cohort,2,Right,Left,B1
39,147,6_B_Bees_Rhyme.jpg,6_A_Keys_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",bees_Rhyme.wav,Exp,39.ias,1,Rhyme,1,Right,Left,B1
40,148,7_B_Milk_Baseline.jpg,7_A_Dog_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",milk_Baseline.wav,Exp,40.ias,1,Unrelated,1,Left,Right,B1
41,149,3_B_Bug_Cohort.jpg,3_A_Bus_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",bug_Cohort.wav,Exp,41.ias,1,Cohort,1,Right,Left,B1
42,150,15_B_Honey_Rhyme.jpg,15_A_Money_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",honey_Rhyme.wav,Exp,42.ias,1,Rhyme,2,Left,Right,B1
43,151,14_B_Kitchen_Cohort.jpg,14_A_Kitty_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",kitchen_Cohort.wav,Exp,43.ias,1,Cohort,2,Left,Right,B1
44,152,17_B_Sneaker_Baseline.jpg,17_A_Pretzel_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",sneaker_Baseline.wav,Exp,44.ias,1,Unrelated,2,Right,Left,B1
45,153,9_A_Glue_Rhyme.jpg,9_B_Shoe_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",glue_Rhyme.wav,Exp,45.ias,1,Rhyme,1,Left,Right,B1
46,154,3_B_Nose_Baseline.jpg,3_A_Book_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",nose_Baseline.wav,Exp,46.ias,1,Unrelated,1,Right,Left,B1
47,155,12_B_Camera_Cohort.jpg,12_A_Candy_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",camera_Cohort.wav,Exp,47.ias,1,Cohort,2,Left,Right,B1
48,156,14_B_Pumpkin_Baseline.jpg,14_A_Hammer_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",pumpkin_Baseline.wav,Exp,48.ias,1,Unrelated,2,Right,Left,B1
49,157,2_B_Belt_Cohort.jpg,2_A_Bed_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",belt_Cohort.wav,Exp,49.ias,1,Cohort,1,Left,Right,B1
50,158,15_B_Soda_Baseline.jpg,15_A_Monkey_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",soda_Baseline.wav,Exp,50.ias,1,Unrelated,2,Right,Left,B1
51,159,18_B_Letter_Rhyme.jpg,18_A_Sweater_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",letter_Rhyme.wav,Exp,51.ias,1,Rhyme,2,Right,Left,B1
52,160,9_B_Toast_Cohort.jpg,9_A_Toes_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",toast_Cohort.wav,Exp,52.ias,1,Cohort,1,Right,Left,B1
53,161,5_B_Car_Rhyme.jpg,5_A_Star_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",car_Rhyme.wav,Exp,53.ias,1,Rhyme,1,Left,Right,B1
54,162,5_B_Soap_Baseline.jpg,5_A_Corn_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",soap_Baseline.wav,Exp,54.ias,1,Unrelated,1,Right,Left,B1
1,163,8_B_Mouth_Cohort.jpg,8_A_Mouse_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",mouth2_Cohort.wav,Exp,1.ias,1,Cohort,1,Right,Left,B2
2,164,18_B_Letter_Rhyme.jpg,18_A_Sweater_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",letter_Rhyme.wav,Exp,2.ias,1,Rhyme,2,Left,Right,B2
3,165,4_B_Clown_Cohort.jpg,4_A_Cloud_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",clown_Cohort.wav,Exp,3.ias,1,Cohort,1,Left,Right,B2
4,166,2_B_Sock_Baseline.jpg,2_A_Bird_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",sock_Baseline.wav,Exp,4.ias,1,Unrelated,1,Right,Left,B2
5,167,15_B_Penny_Cohort.jpg,15_A_Penguin_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",penny_Cohort.wav,Exp,5.ias,1,Cohort,2,Right,Left,B2
6,168,2_B_Hat_Rhyme.jpg,2_A_Cat_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",hat_Rhyme.wav,Exp,6.ias,1,Rhyme,1,Left,Right,B2
7,169,14_B_Pumpkin_Baseline.jpg,14_A_Hammer_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",pumpkin_Baseline.wav,Exp,7.ias,1,Unrelated,2,Left,Right,B2
8,170,17_B_Pocket_Rhyme.jpg,17_A_Rocket_Rhyme_3.jpg,"(500, 524)","(1180, 524)","(500, 524)",pocket_Rhyme.wav,Exp,8.ias,1,Rhyme,2,Left,Right,B2
9,171,16_B_Pickle_Cohort.jpg,16_A_Pillow_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",pickle_Cohort.wav,Exp,9.ias,1,Cohort,2,Left,Right,B2
10,172,8_B_Juice_Baseline.jpg,8_A_Doll_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",juice_Baseline.wav,Exp,10.ias,1,Unrelated,1,Left,Right,B2
11,173,6_B_Cows_Cohort.jpg,6_A_Couch_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",cows_Cohort.wav,Exp,11.ias,1,Cohort,1,Right,Left,B2
12,174,5_B_Car_Rhyme.jpg,5_A_Star_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",car_Rhyme.wav,Exp,12.ias,1,Rhyme,1,Right,Left,B2
13,175,18_B_Cookie_Baseline.jpg,18_A_Shovel_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",cookies_Baseline.wav,Exp,13.ias,1,Unrelated,2,Right,Left,B2
14,176,1_B_Rake_Rhyme.jpg,1_A_Cake_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",rake_Rhyme.wav,Exp,14.ias,1,Rhyme,1,Right,Left,B2
15,177,11_B_Button_Cohort.jpg,11_A_Bunny_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",button_Cohort.wav,Exp,15.ias,1,Cohort,2,Right,Left,B2
16,178,12_B_Shower_Rhyme.jpg,12_A_Flower_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",shower_Rhyme.wav,Exp,16.ias,1,Rhyme,2,Left,Right,B2
17,179,1_B_Pants_Baseline.jpg,1_A_Bear_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",pants_Baseline.wav,Exp,17.ias,1,Unrelated,1,Right,Left,B2
18,180,16_B_Candle_Rhyme.jpg,16_A_Sandal_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",candle_Rhyme.wav,Exp,18.ias,1,Rhyme,2,Right,Left,B2
19,181,3_B_Bug_Cohort.jpg,3_A_Bus_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",bug_Cohort.wav,Exp,19.ias,1,Cohort,1,Left,Right,B2
20,182,17_B_Sneaker_Baseline.jpg,17_A_Pretzel_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",sneaker_Baseline.wav,Exp,20.ias,1,Unrelated,2,Left,Right,B2
21,183,12_B_Camera_Cohort.jpg,12_A_Candy_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",camera_Cohort.wav,Exp,21.ias,1,Cohort,2,Right,Left,B2
22,184,12_B_Muffin_Baseline.jpg,12_A_Doctor_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",muffin_Baseline.wav,Exp,22.ias,1,Unrelated,2,Left,Right,B2
23,185,7_B_Moose_Cohort.jpg,7_A_Moon_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",moose_Cohort.wav,Exp,23.ias,1,Cohort,1,Left,Right,B2
24,186,8_B_Boy_Rhyme.jpg,8_A_Toy_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",boy_Rhyme.wav,Exp,24.ias,1,Rhyme,1,Left,Right,B2
25,187,17_B_People_Cohort.jpg,17_A_Pizza_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",people_Cohort.wav,Exp,25.ias,1,Cohort,2,Left,Right,B2
26,188,15_B_Honey_Rhyme.jpg,15_A_Money_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",honey_Rhyme.wav,Exp,26.ias,1,Rhyme,2,Right,Left,B2
27,189,11_B_Zipper_Baseline.jpg,11_A_Bottle_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",zipper_Baseline.wav,Exp,27.ias,1,Unrelated,2,Right,Left,B2
28,190,13_B_Children_Cohort.jpg,13_A_Chicken_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",children_Cohort.wav,Exp,28.ias,1,Cohort,2,Right,Left,B2
29,191,9_B_Horse_Baseline.jpg,9_A_Feet_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",horse_Baseline.wav,Exp,29.ias,1,Unrelated,1,Right,Left,B2
30,192,9_B_Toast_Cohort.jpg,9_A_Toes_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",toast_Cohort.wav,Exp,30.ias,1,Cohort,1,Left,Right,B2
31,193,6_B_Bees_Rhyme.jpg,6_A_Keys_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",bees_Rhyme.wav,Exp,31.ias,1,Rhyme,1,Left,Right,B2
32,194,15_B_Soda_Baseline.jpg,15_A_Monkey_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",soda_Baseline.wav,Exp,32.ias,1,Unrelated,2,Left,Right,B2
33,195,2_B_Belt_Cohort.jpg,2_A_Bed_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",belt_Cohort.wav,Exp,33.ias,1,Cohort,1,Right,Left,B2
34,196,3_B_Fish_Rhyme.jpg,3_A_Dish_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",fish_Rhyme.wav,Exp,34.ias,1,Rhyme,1,Right,Left,B2
35,197,3_B_Nose_Baseline.jpg,3_A_Book_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",nose_Baseline.wav,Exp,35.ias,1,Unrelated,1,Left,Right,B2
36,198,10_B_Butter_Cohort.jpg,10_A_Bubbles_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",butter_Cohort.wav,Exp,36.ias,1,Cohort,2,Left,Right,B2
37,199,10_B_Police_Baseline.jpg,10_A_Basket_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",police_Baseline.wav,Exp,37.ias,1,Unrelated,2,Left,Right,B2
38,200,9_A_Glue_Rhyme.jpg,9_B_Shoe_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",glue_Rhyme.wav,Exp,38.ias,1,Rhyme,1,Right,Left,B2
39,201,5_B_Soap_Baseline.jpg,5_A_Corn_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",soap_Baseline.wav,Exp,39.ias,1,Unrelated,1,Left,Right,B2
40,202,13_B_Belly_Rhyme.jpg,13_A_Jelly_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",belly_Rhyme.wav,Exp,40.ias,1,Rhyme,2,Left,Right,B2
41,203,18_B_Potty_Cohort.jpg,18_A_Popcorn_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",potty_Cohort.wav,Exp,41.ias,1,Cohort,2,Left,Right,B2
42,204,7_B_Milk_Baseline.jpg,7_A_Dog_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",milk_Baseline.wav,Exp,42.ias,1,Unrelated,1,Right,Left,B2
43,205,11_B_Carrot_Rhyme.jpg,11_A_Parrot_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",carrot_Rhyme.wav,Exp,43.ias,1,Rhyme,2,Right,Left,B2
44,206,1_B_Bathtub_Cohort.jpg,1_A_Bat_Cohort.jpg,"(500, 524)","(1180, 524)","(500, 524)",bath_Cohort.wav,Exp,44.ias,1,Cohort,1,Left,Right,B2
45,207,14_B_Kitten_Rhyme.jpg,14_A_Mitten_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",kitten_Rhyme.wav,Exp,45.ias,1,Rhyme,2,Left,Right,B2
46,208,16_B_Tractor_Baseline.jpg,16_A_Present_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",tractor_Baseline.wav,Exp,46.ias,1,Unrelated,2,Right,Left,B2
47,209,14_B_Kitchen_Cohort.jpg,14_A_Kitty_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",kitchen_Cohort.wav,Exp,47.ias,1,Cohort,2,Right,Left,B2
48,210,7_B_Men_Rhyme.jpg,7_A_Pen_Rhyme.jpg,"(500, 524)","(1180, 524)","(500, 524)",men_Rhyme.wav,Exp,48.ias,1,Rhyme,1,Left,Right,B2
49,211,6_B_Cup_Baseline.jpg,6_A_Frog_Baseline.jpg,"(500, 524)","(1180, 524)","(500, 524)",cup_Rhyme.wav,Exp,49.ias,1,Unrelated,1,Left,Right,B2
50,212,10_B_Poodles_Rhyme.jpg,10_A_Noodles_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",poodles_Rhyme.wav,Exp,50.ias,1,Rhyme,2,Right,Left,B2
51,213,4_B_Teeth_Baseline.jpg,4_A_Cheese_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",teeth_Baseline.wav,Exp,51.ias,1,Unrelated,1,Right,Left,B2
52,214,5_B_Comb_Cohort.jpg,5_A_Coat_Cohort.jpg,"(1180, 524)","(500, 524)","(1180, 524)",comb_Cohort.wav,Exp,52.ias,1,Cohort,1,Right,Left,B2
53,215,13_B_Finger_Baseline.jpg,13_A_Donut_Baseline.jpg,"(1180, 524)","(500, 524)","(1180, 524)",finger_Baseline.wav,Exp,53.ias,1,Unrelated,2,Right,Left,B2
54,216,4_B_Hand_Rhyme.jpg,4_A_Sand_Rhyme.jpg,"(1180, 524)","(500, 524)","(1180, 524)",hand_Rhyme.wav,Exp,54.ias,1,Rhyme,1,Right,Left,B2